"history_id","user_id","location","recorded_at","transport_mode"
3526,9,POINT (-84.0073554 34.0056158),2026-09-12 07:27:17.925 -0400,STILL
3525,9,POINT (-84.0074687 34.0057403),2026-09-12 07:25:15.852 -0400,STILL
3524,9,POINT (-84.007376 34.0055788),2026-09-12 07:24:15.025 -0400,WALKING
3523,9,POINT (-84.0073781 34.0057366),2026-09-12 07:23:12.940 -0400,WALKING
3522,9,POINT (-84.0074004 34.0057714),2026-09-12 07:22:10.968 -0400,WALKING
3521,9,POINT (-84.0073777 34.0057686),2026-09-12 07:21:09.783 -0400,WALKING
3520,9,POINT (-84.0073374 34.0056047),2026-09-12 07:20:07.846 -0400,WALKING
3519,9,POINT (-84.0073218 34.005539),2026-09-12 07:19:05.747 -0400,WALKING
3518,9,POINT (-84.0073301 34.0055419),2026-09-12 07:18:04.051 -0400,WALKING
3517,9,POINT (-84.007323 34.0055432),2026-09-12 07:17:01.751 -0400,WALKING
3516,9,POINT (-84.0073569 34.0055673),2026-09-12 07:15:59.682 -0400,WALKING
3515,9,POINT (-84.0073338 34.0055971),2026-09-12 07:14:57.613 -0400,WALKING
3514,9,POINT (-84.0073997 34.0056579),2026-09-12 07:13:56.710 -0400,WALKING
3513,9,POINT (-84.0073197 34.0055419),2026-09-12 07:12:55.216 -0400,WALKING
3512,9,POINT (-84.0073647 34.0055962),2026-09-12 07:11:53.734 -0400,WALKING
3511,9,POINT (-84.0073339 34.005543),2026-09-12 07:10:51.770 -0400,WALKING
3510,9,POINT (-84.0073858 34.0057687),2026-09-12 07:09:49.835 -0400,WALKING
3509,9,POINT (-84.0073864 34.0057559),2026-09-12 07:08:49.057 -0400,WALKING
3508,9,POINT (-84.0073978 34.0057795),2026-09-12 07:07:11.867 -0400,WALKING
3507,9,POINT (-84.0074063 34.00578),2026-09-12 07:06:10.990 -0400,WALKING
3506,9,POINT (-84.0073909 34.0057868),2026-09-12 07:05:10.031 -0400,WALKING
3505,9,POINT (-84.0073904 34.005783),2026-09-12 07:04:09.085 -0400,WALKING
3504,9,POINT (-84.0074031 34.0057845),2026-09-12 07:03:08.498 -0400,WALKING
3503,9,POINT (-84.007398 34.0057815),2026-09-12 07:02:07.254 -0400,WALKING
3502,9,POINT (-84.0073862 34.0057848),2026-09-12 07:01:06.372 -0400,WALKING
3501,9,POINT (-84.007399 34.0057776),2026-09-12 07:00:05.478 -0400,WALKING
3500,9,POINT (-84.0073932 34.0057823),2026-09-12 06:59:04.187 -0400,WALKING
3499,9,POINT (-84.0073989 34.0057765),2026-09-12 06:58:04.760 -0400,WALKING
3498,9,POINT (-84.007392 34.0057804),2026-09-10 05:23:50.658 -0400,
